Tm,#Bat,BatAge,R/G,G_bat,PA,AB,R_bat,H_bat,2B,3B,HR_bat,RBI,SB,CS,BB_bat,SO_bat,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_bat,SH,SF,IBB_bat,LOB_bat,#P,PAge,RA/G,W,L,W-L%,ERA,G_pit,GS,GF,CG,tSho,cSho,SV,IP,H_pit,R_pit,ER,HR_pit,BB_pit,IBB_pit,SO_pit,HBP_pit,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB_pit,last_update
Arizona Diamondbacks,47,28.1,5.16,80,3090,2720,413,694,145,17,115,405,60,18,287,619,.255,.331,.448,.779,115,1218,54,37,13,32,9,551,29,30.3,5.09,41,39,.513,4.73,80,80,80,0,6,0,25,711.1,688,407,374,107,266,12,676,36,7,14,3063,89,4.40,1.341,8.7,1.4,3.4,8.6,2.54,533,2025-06-27
Athletics,47,26.4,4.17,82,3106,2803,342,706,131,9,101,331,44,11,262,678,.252,.318,.413,.732,104,1158,75,19,4,15,5,570,29,28.9,5.77,33,49,.402,5.41,82,82,82,0,5,0,17,728.0,779,473,438,117,305,11,651,47,5,15,3264,77,4.83,1.489,9.6,1.4,3.8,8.0,2.13,617,2025-06-27
Atlanta Braves,47,28.4,4.20,79,3010,2675,332,653,110,8,82,319,42,12,284,670,.244,.320,.383,.703,96,1025,50,24,7,20,9,584,28,29.4,3.89,37,42,.468,3.70,79,79,78,1,5,0,12,697.1,601,307,287,85,250,10,716,32,5,19,2896,112,3.82,1.220,7.8,1.1,3.2,9.2,2.86,508,2025-06-27
Baltimore Orioles,47,27.3,3.94,80,2943,2656,315,627,113,9,92,296,55,16,225,706,.236,.302,.389,.692,98,1034,61,37,3,22,7,509,29,31.2,5.03,34,46,.425,4.88,80,80,80,0,3,0,19,700.1,737,402,380,108,259,4,657,25,3,32,3054,79,4.42,1.422,9.5,1.4,3.3,8.4,2.54,556,2025-06-27
Boston Red Sox,42,27.3,4.65,82,3161,2825,381,697,149,12,98,363,67,17,275,766,.247,.320,.412,.732,104,1164,44,37,7,17,16,586,24,29.7,4.56,40,42,.488,3.97,82,82,82,0,6,0,22,734.2,690,374,324,82,282,11,700,35,3,18,3138,105,3.91,1.323,8.5,1.0,3.5,8.6,2.48,579,2025-06-27
Chicago Cubs,43,28.6,5.42,80,3102,2772,434,708,141,15,118,426,96,16,277,629,.255,.325,.445,.770,120,1233,36,22,7,24,9,554,26,30.9,4.21,47,33,.588,3.90,80,80,80,0,7,0,18,715.2,677,337,310,95,222,7,608,26,0,15,2989,98,4.14,1.256,8.5,1.2,2.8,7.6,2.74,518,2025-06-27
Chicago White Sox,53,27.3,3.46,81,2964,2646,280,583,123,7,64,267,56,17,266,707,.220,.293,.345,.638,80,912,48,16,11,21,4,544,29,27.6,4.47,26,55,.321,4.18,81,81,81,0,4,0,8,702.1,692,362,326,88,293,13,584,48,2,20,3073,100,4.50,1.402,8.9,1.1,3.8,7.5,1.99,611,2025-06-27
Cincinnati Reds,45,27.5,4.59,81,3042,2715,372,670,135,10,88,356,64,23,274,704,.247,.319,.401,.721,94,1089,52,26,6,21,7,533,24,29.4,4.17,42,39,.519,3.85,81,81,79,2,4,1,21,717.2,627,338,307,96,248,7,657,36,2,23,3014,117,4.17,1.219,7.9,1.2,3.1,8.2,2.65,534,2025-06-27
Cleveland Guardians,39,27.8,3.81,78,2853,2545,297,588,111,7,79,282,62,18,244,641,.231,.302,.373,.676,89,950,51,27,11,26,12,497,23,27.4,4.14,40,38,.513,3.89,78,78,77,1,9,0,23,687.1,659,323,297,80,285,10,653,27,4,23,2959,106,4.05,1.373,8.6,1.0,3.7,8.6,2.29,580,2025-06-27
Colorado Rockies,46,27.6,3.55,80,2944,2676,284,612,129,25,77,278,43,19,214,787,.229,.291,.382,.673,80,1022,59,29,8,17,5,504,24,27.9,6.19,18,62,.225,5.54,80,80,80,0,0,0,13,699.0,814,495,430,107,274,9,530,22,3,39,3133,84,4.82,1.557,10.5,1.4,3.5,6.8,1.93,550,2025-06-27
Detroit Tigers,44,26.8,4.96,81,3068,2739,402,692,133,16,98,387,28,6,261,705,.253,.323,.420,.743,110,1151,46,36,4,25,7,541,24,28.1,3.90,50,31,.617,3.50,81,81,80,1,7,1,23,720.1,635,316,280,86,234,7,684,34,1,20,2999,112,3.84,1.206,7.9,1.1,2.9,8.5,2.92,530,2025-06-27
Houston Astros,43,28.7,4.20,80,2975,2675,336,684,115,7,86,320,45,19,235,624,.256,.322,.400,.722,103,1071,68,35,9,21,7,550,25,29.1,3.59,47,33,.588,3.43,80,80,77,3,8,0,24,707.2,573,287,270,84,240,3,784,32,1,18,2917,118,3.55,1.149,7.3,1.1,3.1,10.0,3.27,515,2025-06-27
Kansas City Royals,39,28.2,3.29,80,2938,2680,263,653,130,15,56,259,62,27,191,543,.244,.298,.366,.664,86,981,39,25,18,23,12,548,20,30.0,3.64,38,42,.475,3.40,80,80,80,0,7,0,25,712.0,634,291,269,76,230,9,651,23,2,32,2956,121,3.70,1.213,8.0,1.0,2.9,8.2,2.83,540,2025-06-27
